Underliggande tillgång;Ticker;Indexnamn;MS_Asset
Rocket Lab USA;RKLB;Rocket Lab USA;RKLB_US_Equity
Roku;ROKU;Roku;ROKU_US_Equity
Rolls-Royce;RYCEY;Rolls-Royce;RYCEY_US_Equity
Royal Bank of Canada;RY;Royal Bank of Canada;RY_US_Equity
Rugvista Group;81N.F;Rugvista Group;81N_GY_Equity
Rush Street Interactive;RSI;Rush Street Interactive;RSI_US_Equity
Russell 2000®;^RUT;Russell 2000®;RTY_Index
Rusta;RUSTA.ST;Rusta;RUSTA_SS_Equity
Rvrc Holding;RVRC.ST;Rvrc Holding;RVRC_SS_Equity
S&P 500®;^GSPC;S&P 500®;SPX_Index
SCA B;SCA-B.ST;SCA B;SCAB_SS_Equity
SEB A;SEB-A.ST;SEB A;SEBA_SS_Equity
SKF;SKF-B.ST;SKF;SKFB_SS_Equity
SSAB A;SSAB-A.ST;SSAB A;SSABA_SS_Equity
SSAB B;SSAB-B.ST;SSAB B;SSABB_SS_Equity
Saab B;SAAB-B.ST;Saab B;SAABB_SS_Equity
Sagax;SAGA-B.ST;Sagax B;SAGAB_SS_Equity
Salesforce;CRM;Salesforce;CRM_US_Equity
Samhallsbyggnadsbolaget i Norden B;SBB-B.ST;Samhallsbyggnadsbolaget i Norden B;SBBB_SS_Equity
Sandvik;SAND.ST;Sandvik;SAND_SS_Equity
Sanmina;SANM;Sanmina;SANM_US_Equity
Sartorius Stedim Biotech;SRTOY;Sartorius Stedim Biotech;SRTOY_US_Equity
Scandi Standard;SCST.ST;Scandi Standard;SCST_SS_Equity
Scandic Hotels Group;SHOT.ST;Scandic Hotels Group;SHOT_SS_Equity
Sdiptech;SDIP-B.ST;Sdiptech;SDIPB_SS_Equity
Sea ADR;SE;Sea ADR;SE_US_Equity
Sectra;SECT-B.ST;Sectra;SECTB_SS_Equity
Securitas B;SECU-B.ST;Securitas B;SECUB_SS_Equity
Sedana Medical;SEDANA.ST;Sedana Medical;SEDANA_SS_Equity
ShaMaran Petroleum;SNM.ST;ShaMaran Petroleum;SNM_SS_Equity
Shell;SHEL;Shell;SHEL_US_Equity
Shift4 Payments;FOUR;Shift4 Payments;FOUR_US_Equity
Shopify;SHOP;Shopify;SHOP_US_Equity
Silver Mar26;SI=F;Silver Mar26;SIH6_Comdty
Sinch;SINCH.ST;Sinch;SINCH_SS_Equity
Sivers Semiconductors;SIVE.ST;Sivers Semiconductors;SIVE_SS_Equity
Skanska B;SKA-B.ST;Skanska B;SKAB_SS_Equity
SkiStar;SKIS-B.ST;SkiStar;SKISB_SS_Equity
Smart Eye;SEYE.ST;Smart Eye;SEYE_SS_Equity
Snap;SNAP;Snap;SNAP_US_Equity
Snowflake;SNOW;Snowflake;SNOW_US_Equity
SoFi Technologies;SOFI;SoFi Technologies;SOFI_US_Equity
SoftBank Group ADR;9984.T;SoftBank Group ADR;9984_JT_Equity
Softronic;SOF-B.ST;Softronic;SOFB_SS_Equity
Sonos;SONO;Sonos;SONO_US_Equity
Sony ADR;SONY;Sony ADR;SONY_US_Equity
Southwest Airlines;LUV;Southwest Airlines;LUV_US_Equity
Spotify;SPOT;Spotify;SPOT_US_Equity
Sprout Social;SPT;Sprout Social;SPT_US_Equity
Starbucks;SBUX;Starbucks;SBUX_US_Equity
Stendorren Fastigheter;STEF-B.ST;Stendorren Fastigheter;STEFB_SS_Equity
Stillfront;SF.ST;Stillfront;SF_SS_Equity
StoneCo;STNE;StoneCo;STNE_US_Equity
Stora Enso;STE-R.ST;Stora Enso;STER_SS_Equity
Stora Enso (SS);STE-R.ST;Stora Enso (SS);STER_SS_Equity
Storskogen Group;STOR-B.ST;Storskogen Group;STORB_SS_Equity
Storytel;STORY-B.ST;Storytel;STORYB_SS_Equity
Strategy Inc;MSTR;Strategy Inc;MSTR_US_Equity
Subsea 7;SUBC.OL;Subsea 7;SUBC_NO_Equity
Sugar No. 11 Mar26;SB=F;Sugar No. 11 Mar26;SBK6_Comdty
Super Micro Computer;SMCI;Super Micro Computer;SMCI_US_Equity
Svolder;SVOL-B.ST;Svolder;SVOLB_SS_Equity
Sweco B;SWEC-B.ST;Sweco B;SWECB_SS_Equity
Swedbank A;SWED-A.ST;Swedbank A;SWEDA_SS_Equity
SwedenCare;SECARE.ST;SwedenCare;SECARE_SS_Equity
Swedish Logistic Property B;SLP-B.ST;Swedish Logistic Property B;SLPB_SS_Equity
